CardId,RuleFamily,RuleCategory,Trigger,Base,Translate,WordCategory,Before,After,Answer,Outcome,Why,Why-Cym
c000378,"Nasal, Contact",Possessive,fy,gweld,to see,verb-noun,Mae e’n fy,i ar y stryd.,ngweld,NM,"fy causes nasal mutation; with g-, it becomes ng-: gweld → ngweld.","Mae fy yn achosi treiglad trwynol; gyda g-, mae’n dod yn ng-: gweld → ngweld."
c000379,"Soft, Contact",Possessive,dy,talu,to pay,verb-noun,Wnei di dy,di heddiw?,dalu,SM,dy causes soft mutation on t: talu → dalu (t→d).,Mae dy yn achosi treiglad meddal ar t: talu → dalu (t→d).
c000380,None,Possessive,eich,talu,to pay,verb-noun,Wnewch chi eich,chi heddiw?,talu,NONE,"eich does not mutate the following verb-noun in the standard system, so talu stays talu.","Nid yw eich yn treiglo’r ferfenw sy’n dilyn yn y system safonol, felly mae talu yn aros yn talu."
c000381,"Aspirate, Contact",Possessive,ei(her),prynu,to buy,verb-noun,A wnei di ei,hi yfory?,phrynu,AM,ei (“her”) causes aspirate mutation on p: prynu → phrynu (p→ph).,Mae ei (“her”) yn achosi treiglad llaes ar p: prynu → phrynu (p→ph).
c000382,"Soft, Contact",Possessive,ei(his),cyflog,pay/salary,noun-masc,Gofynnodd e am gael ei,yn gynnar.,gyflog,SM,ei (“his”) causes soft mutation on c: cyflog → gyflog (c→g).,Mae ei (“his”) yn achosi treiglad meddal ar c: cyflog → gyflog (c→g).
c000383,"Nasal, Contact",Possessive,fy,talu,to pay,verb-noun,Mae hi’n fy,i ar-lein.,nhalu,NM,fy causes nasal mutation on t: talu → nhalu (t→nh).,Mae fy yn achosi treiglad trwynol ar t: talu → nhalu (t→nh).
c000384,None,Possessive,ein,gweld,to see,verb-noun,Maen nhw’n ein,ni ar Teams.,gweld,NONE,"ein does not mutate the following verb-noun in the standard system, so gweld stays gweld.","Nid yw ein yn treiglo’r ferfenw sy’n dilyn yn y system safonol, felly mae gweld yn aros yn gweld."
c000385,None,Possessive,eu,talu,to pay,verb-noun,Rhaid iddyn nhw eu,nhw heno.,talu,NONE,"eu does not mutate the following verb-noun in the standard system, so talu stays talu.","Nid yw eu yn treiglo’r ferfenw sy’n dilyn yn y system safonol, felly mae talu yn aros yn talu."
c000386,"Soft, Contact",Possessive,dy,tŷ,house,noun-masc,Es i i dy,di heddiw.,dŷ,SM,"dy (“your”, singular) causes soft mutation on the following noun: tŷ → dŷ (t→d).","Mae dy (“your”, unigol) yn achosi treiglad meddal ar yr enw sy’n dilyn: tŷ → dŷ (t→d)."
c000387,"Soft, Contact",Possessive,ei(his),pen,head,noun-masc,Taro’ch chi ei,fe.,ben,SM,ei (“his”) causes soft mutation on p: pen → ben (p→b).,Mae ei (“his”) yn achosi treiglad meddal ar p: pen → ben (p→b).
c000388,"Aspirate, Contact",Possessive,ei(her),tad,father,noun-masc,Siaradais â ei,hi ddoe.,thad,AM,ei (“her”) causes aspirate mutation on t: tad → thad (t→th).,Mae ei (“her”) yn achosi treiglad llaes ar t: tad → thad (t→th).
c000389,"Nasal, Contact",Possessive,fy,ci,dog,noun-masc,Dyma fy,i.,nghi,NM,"fy (“my”) causes nasal mutation; with c-, it becomes ngh-: ci → nghi (fy nghi).","Mae fy (“my”) yn achosi treiglad trwynol; gyda c-, mae’n dod yn ngh-: ci → nghi (fy nghi)."
c000390,None,Possessive,ein,merch,girl/daughter,noun-fem,Cyfarfuom â ein,ni.,merch,NONE,"ein does not mutate the following noun in the standard system, so merch stays merch.","Nid yw ein yn treiglo’r enw sy’n dilyn yn y system safonol, felly mae merch yn aros yn merch."
c000391,None,Possessive,eich,plant,children,noun-pl,Gwelais eich,chi ddoe.,plant,NONE,"eich does not mutate the following noun in the standard system, so plant stays plant.","Nid yw eich yn treiglo’r enw sy’n dilyn yn y system safonol, felly mae plant yn aros yn plant."
c000392,None,Possessive,eu,cartref,home,noun-masc,Es i i eu,nhw.,cartref,NONE,"eu does not mutate the following noun in the standard system, so cartref stays cartref.","Nid yw eu yn treiglo’r enw sy’n dilyn yn y system safonol, felly mae cartref yn aros yn cartref."
c000393,"Soft, Contact",Preposition,iddo,mynd,to go,verb-noun,Mae’n hen bryd iddo fe,adref.,fynd,SM,"After i/idd- (“to”) + pronoun, the following verb-noun takes soft mutation: mynd → fynd (m→f).","Ar ôl i/idd- (“to”) + rhagenw, mae’r ferfenw sy’n dilyn yn cael treiglad meddal: mynd → fynd (m→f)."
c000394,"Soft, Contact",Preposition,iddi,dod,to come,verb-noun,Mae’n bwysig iddi hi,yn gynnar.,ddod,SM,"After iddi, the following verb-noun takes soft mutation: dod → ddod (d→dd).","Ar ôl iddi, mae’r ferfenw sy’n dilyn yn cael treiglad meddal: dod → ddod (d→dd)."
c000395,"Soft, Contact",Preposition,iddyn,prynu,to buy,verb-noun,Mae’n well iddyn nhw,tocynnau nawr.,brynu,SM,"After iddyn nhw, the verb-noun takes soft mutation: prynu → brynu (p→b).","Ar ôl iddyn nhw, mae’r ferfenw’n cael treiglad meddal: prynu → brynu (p→b)."
c000396,"Soft, Contact",Preposition,i,cyrraedd,to arrive,verb-noun,Mae’n ddoeth i ni,erbyn wyth.,gyrraedd,SM,"After i, the verb-noun takes soft mutation: cyrraedd → gyrraedd (c→g).","Ar ôl i, mae’r ferfenw’n cael treiglad meddal: cyrraedd → gyrraedd (c→g)."
c000397,"Soft, Contact",Preposition,i,talu,to pay,verb-noun,Mae’n rhaid i chi,heddiw.,dalu,SM,"After i, the verb-noun takes soft mutation: talu → dalu (t→d).","Ar ôl i, mae’r ferfenw’n cael treiglad meddal: talu → dalu (t→d)."
c000398,"Soft, Contact",Preposition,iddo,gweld,to see,verb-noun,Mae’n anodd iddo fe,y gwir.,weld,SM,"After iddo fe, the verb-noun takes soft mutation; with initial g-, the g disappears: gweld → weld.","Ar ôl iddo fe, mae’r ferfenw’n cael treiglad meddal; gyda g- ar y dechrau, mae’r g yn diflannu: gweld → weld."
c000399,"Soft, Contact",Preposition,iddi,cymryd,to take,verb-noun,Mae’n bryd iddi hi,seibiant.,gymryd,SM,"After iddi hi, the verb-noun takes soft mutation: cymryd → gymryd (c→g).","Ar ôl iddi hi, mae’r ferfenw’n cael treiglad meddal: cymryd → gymryd (c→g)."
c000400,None,Possessive,ein,caru,to love,verb-noun,Rydyn ni’n ein,ni bob dydd.,caru,NONE,"ein does not mutate the following verb-noun in the standard system, so caru stays caru (a useful “no-mutation” case).","Nid yw ein yn treiglo’r ferfenw sy’n dilyn yn y system safonol, felly mae caru yn aros yn caru (achos defnyddiol o “ddim treiglad”)."
c000401,None,Possessive,eich,gweld,to see,verb-noun,Rydyn ni’n eich,chi’n aml.,gweld,NONE,"In the standard system, the possessive eich (“your” plural/formal) does not change the start of the following verb-noun, so gweld stays gweld.","Yn y system safonol, nid yw’r meddiannol eich (“your” lluosog/ffurfiol) yn newid dechrau’r ferfenw sy’n dilyn, felly mae gweld yn aros yn gweld."
c000402,"Soft, Contact",Article,"y (def. art., fem sg)",canolfan,centre,noun-fem,Cwrdd yn y,bore fory.,ganolfan,SM,A feminine singular noun after the definite article y usually takes soft mutation. Here c changes to g: canolfan → ganolfan.,Mae enw benywaidd unigol ar ôl y fannod y fel arfer yn cael treiglad meddal. Yma mae c yn troi’n g: canolfan → ganolfan.
c000403,"Soft, Contact",Article,"y (def. art., fem sg)",cymdeithas,society,noun-fem,Mai’r cyfarfod gyda’r,lleol.,gymdeithas,SM,A feminine singular noun after y/’r usually takes soft mutation. Here c changes to g: cymdeithas → gymdeithas.,Mae enw benywaidd unigol ar ôl y/’r fel arfer yn cael treiglad meddal. Yma mae c yn troi’n g: cymdeithas → gymdeithas.
c000404,"Soft, Contact",Article,"yr (def. art., fem sg)",gorsaf,station,noun-fem,Cwrdd yn yr,heno.,orsaf,SM,"A feminine singular noun after the definite article takes soft mutation. With g-, the g disappears: gorsaf → orsaf. Because the mutated form starts with a vowel, the article appears as yr: yr orsaf.","Mae enw benywaidd unigol ar ôl y fannod yn cael treiglad meddal. Gyda g-, mae’r g yn diflannu: gorsaf → orsaf. Gan fod y ffurf newydd yn dechrau gyda llafariad, defnyddir yr: yr orsaf."
c000405,"Soft, Contact",Article,"y (def. art., fem sg)",marchnad,market,noun-fem,Prynodd ffrwythau yn y,ddoe.,farchnad,SM,A feminine singular noun after y usually takes soft mutation. Here m changes to f: marchnad → farchnad.,Mae enw benywaidd unigol ar ôl y fel arfer yn cael treiglad meddal. Yma mae m yn troi’n f: marchnad → farchnad.
c000406,None,Article,"y (def. art., fem sg)",swydd,job/post,noun-fem,Mae hi yn y,newydd.,swydd,NONE,"Even though this is feminine singular after y, words starting with s- don’t change in soft mutation, so swydd stays swydd.","Er ei bod yn fenywaidd unigol ar ôl y, nid yw geiriau sy’n dechrau gyda s- yn newid gyda threiglad meddal, felly mae swydd yn aros yn swydd."
c000407,"Soft, Contact",Article,"yr (def. art., fem sg)",cân,song,noun-fem,Clod i’r,orau.,gân,SM,A feminine singular noun after the definite article takes soft mutation. Here c changes to g: cân → gân (… ’r gân).,Mae enw benywaidd unigol ar ôl y fannod yn cael treiglad meddal. Yma mae c yn troi’n g: cân → gân (… ’r gân).
c000408,"Soft, Contact",Article,"y (def. art., fem sg)",cerddoriaeth,music,noun-fem,Wrando ar y,yng nghyngerdd.,gerddoriaeth,SM,A feminine singular noun after y usually takes soft mutation. Here c changes to g: cerddoriaeth → gerddoriaeth.,Mae enw benywaidd unigol ar ôl y fel arfer yn cael treiglad meddal. Yma mae c yn troi’n g: cerddoriaeth → gerddoriaeth.
c000409,None,Article,"y (def. art., masc sg)",prynhawn,afternoon,noun-masc,Te yn y,bob dydd.,prynhawn,NONE,"The definite article does not cause soft mutation on a masculine singular noun here, so prynhawn stays prynhawn.","Nid yw’r fannod yn peri treiglad meddal ar enw gwrywaidd unigol yma, felly mae prynhawn yn aros yn prynhawn."
c000410,None,Article,"yr (def. art., masc sg)",bore,morning,noun-masc,Symud y cyfarfod i’r,yfory.,bore,NONE,"The definite article does not cause soft mutation on a masculine singular noun here, so bore stays bore.","Nid yw’r fannod yn peri treiglad meddal ar enw gwrywaidd unigol yma, felly mae bore yn aros yn bore."
c000411,None,Article,"y (def. art., masc sg)",bachgen,boy,noun-masc,Roedd y,yn hapus.,bachgen,NONE,"The definite article does not cause soft mutation on a masculine singular noun, so bachgen stays bachgen.","Nid yw’r fannod yn peri treiglad meddal ar enw gwrywaidd unigol, felly mae bachgen yn aros yn bachgen."
c000412,None,Article,"y (def. art., masc sg)",dyn,man,noun-masc,Gwelais y,neithiwr.,dyn,NONE,"The definite article does not cause soft mutation on a masculine singular noun, so dyn stays dyn.","Nid yw’r fannod yn peri treiglad meddal ar enw gwrywaidd unigol, felly mae dyn yn aros yn dyn."
c000413,None,Article,"y (def. art., fem sg)",swydd,job/post,noun-fem,Mae hi yn y,newydd.,swydd,NONE,"Words starting with s- don’t change in soft mutation, so swydd stays swydd.","Nid yw geiriau sy’n dechrau gyda s- yn newid gyda threiglad meddal, felly mae swydd yn aros yn swydd."
c000414,"Soft, Contact",Article,"yr (def. art., fem sg)",cân,song,noun-fem,Clod i’r,orau.,gân,SM,Feminine singular after the article takes soft mutation: cân → gân.,Enw benywaidd unigol ar ôl y fannod: treiglad meddal cân → gân.
c000415,"Soft, Contact",Article,"y (def. art., fem sg)",cerddoriaeth,music,noun-fem,Wrando ar y,yng nghyngerdd.,gerddoriaeth,SM,Feminine singular after y takes soft mutation: cerddoriaeth → gerddoriaeth (c→g).,Enw benywaidd unigol ar ôl y: treiglad meddal cerddoriaeth → gerddoriaeth (c→g).
c000416,None,Article,"y (def. art., masc sg)",prynhawn,afternoon,noun-masc,Te yn y,bob dydd.,prynhawn,NONE,"Masculine singular after the article: no mutation, so prynhawn stays prynhawn.","Enw gwrywaidd unigol ar ôl y fannod: dim treiglad, felly mae prynhawn yn aros yn prynhawn."
c000417,None,Article,"yr (def. art., masc sg)",bore,morning,noun-masc,Symud y cyfarfod i’r,yfory.,bore,NONE,"Masculine singular after the article: no mutation, so bore stays bore.","Enw gwrywaidd unigol ar ôl y fannod: dim treiglad, felly mae bore yn aros yn bore."
c000418,None,Article,"y (def. art., masc sg)",bachgen,boy,noun-masc,Roedd y,yn hapus.,bachgen,NONE,"Masculine singular after the article: no mutation, so bachgen stays bachgen.","Enw gwrywaidd unigol ar ôl y fannod: dim treiglad, felly mae bachgen yn aros yn bachgen."
c000419,None,Article,"y (def. art., masc sg)",dyn,man,noun-masc,Gwelais y,neithiwr.,dyn,NONE,"Masculine singular after the article: no mutation, so dyn stays dyn.","Enw gwrywaidd unigol ar ôl y fannod: dim treiglad, felly mae dyn yn aros yn dyn."
c000420,None,Article,"y (def. art., masc sg)",dosbarth,class,noun-masc,Dechrau yn y,am ddeg.,dosbarth,NONE,"Masculine singular after the article: no mutation, so dosbarth stays dosbarth.","Enw gwrywaidd unigol ar ôl y fannod: dim treiglad, felly mae dosbarth yn aros yn dosbarth."
c000421,None,Article,"y (def. art., masc sg)",clwb,club,noun-masc,Mae y,yn cyfarfod heno.,clwb,NONE,"Masculine singular after the article: no mutation, so clwb stays clwb.","Enw gwrywaidd unigol ar ôl y fannod: dim treiglad, felly mae clwb yn aros yn clwb."
c000422,None,Article,"y (def. art., masc sg)",cwmni,company,noun-masc,Mae’r swydd yn y,lleol.,cwmni,NONE,"Masculine singular after the article: no mutation, so cwmni stays cwmni.","Enw gwrywaidd unigol ar ôl y fannod: dim treiglad, felly mae cwmni yn aros yn cwmni."
c000423,None,Article,"y (def. art., masc sg)",papur,paper,noun-masc,Daliwch y,yn dwt.,papur,NONE,"Masculine singular after the article: no mutation, so papur stays papur.","Enw gwrywaidd unigol ar ôl y fannod: dim treiglad, felly mae papur yn aros yn papur."
c000424,None,Article,"y (def. art., masc sg)",ffrind,friend,noun-masc,Galwodd y,drosodd.,ffrind,NONE,"This is masculine singular after the article, so there’s no mutation; and ff- doesn’t change here anyway, so ffrind stays ffrind.","Mae hwn yn enw gwrywaidd unigol ar ôl y fannod, felly dim treiglad; ac nid yw ff- yn newid yma beth bynnag, felly mae ffrind yn aros yn ffrind."
c000425,None,Article,"yr (def. art., masc sg)",afal,apple,noun-masc,Bwyta’r,yn gyntaf.,afal,NONE,"The noun starts with a vowel, so there’s no visible mutation; the article form is yr before vowels: yr afal.","Mae’r enw’n dechrau gyda llafariad, felly dim newid gweledol; defnyddir yr cyn llafariad: yr afal."
c000426,"Soft, Contact",Article,"y (def. art., fem sg)",celf,art,noun-fem,Astudio’r hanes a’r damcaniaeth yn y,.,gelf,SM,A feminine singular noun after y usually takes soft mutation. Here c changes to g: celf → gelf.,Mae enw benywaidd unigol ar ôl y fel arfer yn cael treiglad meddal. Yma mae c yn troi’n g: celf → gelf.
c000427,"Soft, Contact",Article,"y (def. art., fem sg)",cyfraith,law,noun-fem,Maen nhw’n trafod y,heno.,gyfraith,SM,Feminine singular after y takes soft mutation: cyfraith → gyfraith (c→g).,Enw benywaidd unigol ar ôl y: treiglad meddal cyfraith → gyfraith (c→g).
c000428,"Soft, Contact",Article,"y (def. art., fem sg)",tref,town,noun-fem,Byw yn y,ers blynyddoedd.,dref,SM,Feminine singular after y takes soft mutation: tref → dref (t→d).,Enw benywaidd unigol ar ôl y: treiglad meddal tref → dref (t→d).
c000429,"Soft, Contact",Article,"y (def. art., fem sg)",baner,flag,noun-fem,Codi’r,ar ddechrau’r gêm.,faner,SM,Feminine singular after the article takes soft mutation: baner → faner (b→f).,Enw benywaidd unigol ar ôl y fannod: treiglad meddal baner → faner (b→f).
c000430,"Soft, Contact",Article,"y (def. art., fem sg)",desg,desk,noun-fem,Gadewch y llythyrau ar y,.,ddesg,SM,Feminine singular after y takes soft mutation: desg → ddesg (d→dd).,Enw benywaidd unigol ar ôl y: treiglad meddal desg → ddesg (d→dd).
c000431,"Soft, Contact",Article,"y (def. art., fem sg)",cerdd,poem,noun-fem,Darllenon ni’r,yn y wers.,gerdd,SM,Feminine singular after the article takes soft mutation: cerdd → gerdd (c→g).,Enw benywaidd unigol ar ôl y fannod: treiglad meddal cerdd → gerdd (c→g).
c000432,"Soft, Contact",Article,"y (def. art., fem sg)",cenedl,nation,noun-fem,Hanes y,yn ddiddorol.,genedl,SM,Feminine singular after y takes soft mutation: cenedl → genedl (c→g).,Enw benywaidd unigol ar ôl y: treiglad meddal cenedl → genedl (c→g).
c000433,None,Article,"yr (def. art., fem sg)",ysgol,school,noun-fem,Mae’r plant yn yr,heddiw.,ysgol,NONE,"The noun starts with a vowel, so there’s no visible change; the article form is yr before vowels: yr ysgol.","Mae’r enw’n dechrau gyda llafariad, felly dim newid gweledol; defnyddir yr cyn llafariad: yr ysgol."
c000434,None,Article,"yr (def. art., fem sg)",ardal,area,noun-fem,Byw yn yr,ers 2010.,ardal,NONE,Vowel-initial noun: no visible mutation; use yr before vowels: yr ardal.,Enw sy’n dechrau gyda llafariad: dim newid gweledol; defnyddir yr cyn llafariad: yr ardal.
c000435,None,Article,"y (def. art., fem sg; s- nil)",swydd,job/post,noun-fem,Mae hi yn y,newydd.,swydd,NONE,"Initial s- doesn’t change in soft mutation, so swydd stays swydd.","Nid yw s- ar ddechrau gair yn newid gyda threiglad meddal, felly mae swydd yn aros yn swydd."
c000436,None,Article,"y (def. art., fem sg; rh/ll exceptions)",rhan,part,noun-fem,Dyma y,bwysig.,rhan,NONE,"With the definite article y, feminine nouns usually soften, but nouns starting with rh- don’t change after y, so rhan stays rhan.","Gyda’r fannod y, mae enwau benywaidd unigol fel arfer yn treiglo’n feddal, ond nid yw geiriau sy’n dechrau gyda rh- yn newid ar ôl y, felly mae rhan yn aros yn rhan."
c000437,None,Article,"y (def. art., fem sg; rh/ll exceptions)",llywodraeth,government,noun-fem,Penderfyniad y,a gyhoeddwyd.,llywodraeth,NONE,"With the definite article y, feminine nouns usually soften, but nouns starting with ll- don’t change after y, so llywodraeth stays llywodraeth.","Gyda’r fannod y, mae enwau benywaidd unigol fel arfer yn treiglo’n feddal, ond nid yw geiriau sy’n dechrau gyda ll- yn newid ar ôl y, felly mae llywodraeth yn aros yn llywodraeth."
c000438,None,Article,"yr (def. art., masc sg)",amser,time,noun-masc,Gwelwn ni hyn yr,holl amser.,amser,NONE,"Masculine singular after the article: no mutation. The noun begins with a vowel, so the article is yr: yr amser.","Enw gwrywaidd unigol ar ôl y fannod: dim treiglad. Gan ei fod yn dechrau gyda llafariad, defnyddir yr: yr amser."
c000439,None,Article,"y (def. art., masc sg)",gwaith,work,noun-masc,Rydw i yn y,hyd at chwech.,gwaith,NONE,"Masculine singular after the article: no mutation, so gwaith stays gwaith.","Enw gwrywaidd unigol ar ôl y fannod: dim treiglad, felly mae gwaith yn aros yn gwaith."
c000440,None,Article,"yr (def. art., masc sg)",arian,money,noun-masc,Siarad am yr,yn aml.,arian,NONE,Vowel-initial masculine noun: no visible mutation; the article form is yr: yr arian.,Enw gwrywaidd sy’n dechrau gyda llafariad: dim newid gweledol; defnyddir yr: yr arian.
c000441,None,Article,"y (def. art., masc sg)",bws,bus,noun-masc,Dal y,yn gynnar.,bws,NONE,"Masculine singular after the article: no mutation, so bws stays bws.","Enw gwrywaidd unigol ar ôl y fannod: dim treiglad, felly mae bws yn aros yn bws."
c000442,None,Article,"y (def. art., masc sg)",tywydd,weather,noun-masc,Siarad am y,bob dydd.,tywydd,NONE,"Masculine singular after the article: no mutation, so tywydd stays tywydd.","Enw gwrywaidd unigol ar ôl y fannod: dim treiglad, felly mae tywydd yn aros yn tywydd."
c000443,None,Article,"y (def. art., masc sg)",pris,price,noun-masc,Cofnodwch y,yn y tabl.,pris,NONE,"Masculine singular after the article: no mutation, so pris stays pris.","Enw gwrywaidd unigol ar ôl y fannod: dim treiglad, felly mae pris yn aros yn pris."
c000444,"Soft, Contact",Article,"y (def. art., fem sg)",cefnogaeth,support,noun-fem,Mae’r prosiect yn dibynnu ar y,gan bawb.,gefnogaeth,SM,Feminine singular after y takes soft mutation: cefnogaeth → gefnogaeth (c→g).,Enw benywaidd unigol ar ôl y: treiglad meddal cefnogaeth → gefnogaeth (c→g).
c000445,"Soft, Contact",Article,"y (def. art., fem sg)",celfyddyd,art (fine art),noun-fem,Astudion ni’r,yn y brifysgol.,gelfyddyd,SM,Feminine singular after the article takes soft mutation: celfyddyd → gelfyddyd (c→g).,Enw benywaidd unigol ar ôl y fannod: treiglad meddal celfyddyd → gelfyddyd (c→g).
c000446,"Soft, Contact",Article,"y (def. art., fem sg)",cynulleidfa,audience,noun-fem,Roedd y ddarlith yn denu’r,leol.,gynulleidfa,SM,Feminine singular after the article takes soft mutation: cynulleidfa → gynulleidfa (c→g).,Enw benywaidd unigol ar ôl y fannod: treiglad meddal cynulleidfa → gynulleidfa (c→g).
c000447,"Soft, Contact",Article,"y (def. art., fem sg)",trefn,order,noun-fem,Cadwch y,yn y swyddfa.,drefn,SM,Feminine singular after y takes soft mutation: trefn → drefn (t→d).,Enw benywaidd unigol ar ôl y: treiglad meddal trefn → drefn (t→d).
c000448,"Soft, Contact",Article,"y (def. art., fem sg)",poen,pain,noun-fem,Cymer meddyginiaeth ar gyfer y,yn dy ben.,boen,SM,Feminine singular after y takes soft mutation: poen → boen (p→b).,Enw benywaidd unigol ar ôl y: treiglad meddal poen → boen (p→b).
c000449,"Soft, Contact",Article,"y (def. art., fem sg)",menyw,woman,noun-fem,Gwelais i’r,yn siarad.,fenyw,SM,Feminine singular after the article takes soft mutation: menyw → fenyw (m→f).,Enw benywaidd unigol ar ôl y fannod: treiglad meddal menyw → fenyw (m→f).
c000450,"Soft, Contact",Article,"y (def. art., fem sg)",potel,bottle,noun-fem,Rhoi’r dŵr yn y,cŵl.,botel,SM,Feminine singular after y takes soft mutation: potel → botel (p→b).,Enw benywaidd unigol ar ôl y: treiglad meddal potel → botel (p→b).
c000451,"Soft, Contact",Article,"y (def. art., fem sg)",darlith,lecture,noun-fem,Dechreuodd y,am ddau.,ddarlith,SM,A feminine singular noun after y takes soft mutation. Here d changes to dd: darlith → ddarlith.,Mae enw benywaidd unigol ar ôl y yn cael treiglad meddal. Yma d → dd: darlith → ddarlith.
c000452,"Soft, Contact",Article,"y (def. art., fem sg)",diod,drink,noun-fem,Archebodd hi’r,yn gyntaf.,ddiod,SM,"Feminine singular after the article takes soft mutation: d → dd, so diod → ddiod.","Enw benywaidd unigol ar ôl y fannod: treiglad meddal d → dd, felly diod → ddiod."
c000453,"Soft, Contact",Article,"y (def. art., fem sg)",dolen,link,noun-fem,Cliciwch ar y,isod.,ddolen,SM,"Feminine singular after y takes soft mutation: d → dd, so dolen → ddolen.","Enw benywaidd unigol ar ôl y: treiglad meddal d → dd, felly dolen → ddolen."
c000454,"Soft, Contact",Article,"y (def. art., fem sg)",prifddinas,capital city,noun-fem,Teithio i’r,yn aml.,brifddinas,SM,"Feminine singular after the article takes soft mutation: p → b, so prifddinas → brifddinas.","Enw benywaidd unigol ar ôl y fannod: treiglad meddal p → b, felly prifddinas → brifddinas."
c000455,"Soft, Contact",Article,"y (def. art., fem sg)",gwybodaeth,information,noun-fem,Darllen y,yn ofalus.,wybodaeth,SM,"Feminine singular after the article takes soft mutation; with g-, the g disappears: gwybodaeth → wybodaeth.","Enw benywaidd unigol ar ôl y fannod: treiglad meddal; gyda g-, mae’r g yn diflannu: gwybodaeth → wybodaeth."
c000456,None,Article,"yr (def. art., fem sg)",amgueddfa,museum,noun-fem,Aethon ni i’r,ddoe.,amgueddfa,NONE,"The word begins with a vowel sound, so there’s no visible soft mutation; the article form is yr: yr amgueddfa.","Mae’r gair yn dechrau gyda llafariad, felly does dim newid gweledol; ffurf y fannod yw yr: yr amgueddfa."
c000457,None,Article,"y (def. art., fem sg; s- nil)",stryd,street,noun-fem,Cerddon ni lawr y,brif.,stryd,NONE,"Even though this is feminine singular after y, s- does not change in soft mutation, so stryd stays stryd.","Er ei fod yn fenywaidd unigol ar ôl y, nid yw s- yn newid gyda threiglad meddal, felly mae stryd yn aros yn stryd."
c000458,None,Article,"y (def. art., fem sg; s- nil)",stori,story,noun-fem,Darllen y,heno.,stori,NONE,"s- is not affected by soft mutation, so stori stays stori.","Nid yw s- yn cael ei effeithio gan dreiglad meddal, felly mae stori yn aros yn stori."
c000459,None,Article,"y (def. art., fem sg; rh/ll exceptions)",rheol,rule,noun-fem,Cadwch at y,bob amser.,rheol,NONE,"Soft mutation would normally apply here, but rh- does not change in soft mutation, so rheol stays rheol.","Byddai treiglad meddal fel arfer yn digwydd, ond nid yw rh- yn newid gyda threiglad meddal, felly mae rheol yn aros yn rheol."
c000460,None,Article,"y (def. art., fem sg; ll- exception)",lliw,colour,noun-fem,Dewis y,cywir.,lliw,NONE,"ll- does not change in soft mutation, so lliw stays lliw.","Nid yw ll- yn newid gyda threiglad meddal, felly mae lliw yn aros yn lliw."
c000461,None,Article,"yr (def. art., fem sg)",afon,river,noun-fem,Cerdded ar hyd yr,heddiw.,afon,NONE,Vowel-initial noun: no visible change; the article form is yr: yr afon.,Enw sy’n dechrau gyda llafariad: dim newid gweledol; ffurf y fannod yw yr: yr afon.
c000462,None,Article,"y (def. art., masc sg)",cariad,love,noun-masc,Siarad am y,yn aml.,cariad,NONE,"The article does not soft-mutate masculine singular nouns, so cariad stays cariad.","Nid yw’r fannod yn treiglo enwau gwrywaidd unigol yn feddal, felly mae cariad yn aros yn cariad."
c000463,None,Article,"y (def. art., masc sg)",map,map,noun-masc,Edrych ar y,cyn gadael.,map,NONE,"Masculine singular after the article: no mutation, so map stays map.","Enw gwrywaidd unigol ar ôl y fannod: dim treiglad, felly mae map yn aros yn map."
c000464,None,Article,"y (def. art., masc sg)",cydweithiwr,colleague,noun-masc,Cyfarfod â’r,yn ddiweddarach.,cydweithiwr,NONE,"Masculine singular after the article: no mutation, so cydweithiwr stays cydweithiwr.","Enw gwrywaidd unigol ar ôl y fannod: dim treiglad, felly mae cydweithiwr yn aros yn cydweithiwr."
c000465,None,Article,"yr (def. art., masc sg)",enw,name,noun-masc,Ysgrifennwch yr,yn glir.,enw,NONE,Vowel-initial masculine noun: no mutation; article is yr: yr enw.,Enw gwrywaidd sy’n dechrau gyda llafariad: dim treiglad; y fannod yw yr: yr enw.
c000466,None,Article,"yr (def. art., masc sg)",oed,age,noun-masc,Nodwch yr,ar y ffurflen.,oed,NONE,Vowel-initial masculine noun: no mutation; article is yr: yr oed.,Enw gwrywaidd sy’n dechrau gyda llafariad: dim treiglad; y fannod yw yr: yr oed.
c000467,None,Article,"y (def. art., masc sg; ll-/rh exceptions)",llun,picture,noun-masc,Edrych ar y,yn y llyfr.,llun,NONE,"ll- does not change in soft mutation, so llun stays llun.","Nid yw ll- yn newid gyda threiglad meddal, felly mae llun yn aros yn llun."
c000468,None,Article,"y (def. art., masc sg; rh exception)",rhiant,parent,noun-masc,Siaradodd y,â’r athro.,rhiant,NONE,"rh- does not change in soft mutation, so rhiant stays rhiant.","Nid yw rh- yn newid gyda threiglad meddal, felly mae rhiant yn aros yn rhiant."
c000469,"Soft, Contact",Adjective+Noun,hen,ci,dog,noun-masc,Roedden ni’n gweld yr hen,yn y cae.,gi,SM,The preposed adjective hen (“old”) causes soft mutation on the following noun: ci → gi (c→g).,Mae’r ansoddair hen (“old”) o flaen enw yn achosi treiglad meddal ar yr enw: ci → gi (c→g).
c000470,"Soft, Contact",Adjective+Noun,hen,tŷ,house,noun-masc,Maen nhw’n trwsio’r hen,ger y bont.,dŷ,SM,hen before the noun causes soft mutation: tŷ → dŷ (t→d).,Mae hen o flaen enw yn achosi treiglad meddal: tŷ → dŷ (t→d).
